calories,protein,fat,sodium,fiber,carbo,rating,manufacturer_American Home Food Products,manufacturer_General Mills,manufacturer_Kelloggs
110.0,2.0,2.0,180.0,1.5,10.5,29.509541,0.0,1.0,0.0
110.0,2.0,0.0,125.0,1.0,11.0,33.174094,0.0,0.0,1.0
100.0,4.0,1.0,214.14382865143946,0.0,16.0,54.850917,1.0,0.0,0.0
120.0,3.0,2.0,210.0,2.0,18.0,37.038562,0.0,1.0,0.0
96.96970130757799,-1.0,2.0,290.0,2.0,17.0,50.764999,0.0,1.0,0.0
100.0,2.0,0.0,290.0,1.0,21.0,58.571986102753456,0.0,0.0,1.0
110.0,1.0,0.0,90.0,1.0,13.0,35.782791,0.0,0.0,1.0
110.0,1.0,1.0,180.0,0.0,12.0,22.396513,0.0,1.0,0.0
110.0,3.0,3.0,140.0,4.0,10.0,40.448772,0.0,0.0,1.0
110.0,2.0,0.0,220.0,1.0,21.0,46.895644,0.0,0.0,1.0
100.0,2.0,1.0,140.0,2.0,11.0,36.176196,0.0,1.0,0.0
110.0,1.0,0.0,200.0,1.0,14.0,31.435973,0.0,0.0,1.0
100.0,3.0,0.0,215.18893746867144,3.0,14.0,58.345141,0.0,0.0,1.0
120.0,3.0,0.0,240.0,5.0,14.0,34.70553001751898,0.0,0.0,1.0
110.0,1.0,1.0,280.0,0.0,15.0,23.804043,0.0,1.0,0.0
110.0,3.0,1.0,250.0,1.5,11.5,31.072217,0.0,1.0,0.0
113.32408217932723,2.0,1.0,170.0,1.0,17.0,36.523683,0.0,0.0,1.0
120.0,3.0,1.0,170.0,2.0,20.0,36.471512,0.0,0.0,1.0
